MasterGloss	originalform	originalgloss	Plomley_Headword	Plomley_note	recorder	recordid	speakercode	tribalregion	region
crab	reen.ne.wuth.er	spider crab	reen.ne.wuth.er		gar	4266		s	Southern
crab	rinouari	crabe	reen.ne.wuth.er		pp	4267		se	Southeastern
crab	renorarí	crab	reen.ne.wuth.er		pl	4268		se	Southeastern
crab	teat.tcher	crab	teat.tcher		cr	4269		br	Big River
crab	teat.cher	crab	teat.tcher		cr	4270	lr	br	Big River
crab	tude.dy	sand crab	tude.dy		gar	4271		b	Bruny Island
crab	tay.de	small crab	tude.dy		gar	4272		b	Bruny Island
crab	pude.dy	land crab	tude.dy		gar	4273		s	Southern
crab	tude.dy	sand crab	tude.dy		gar	9717		s	Southern
crab	wugherapunganah	large crab	wugherapunganah		mj	4274		oyb	Oyster Bay
crooked	dueng.er.ly	crooked	dueng.er.ly		gar	2729		b	Bruny Island
crooked	lãnguěnněe	fold up	dueng.er.ly		sn	2730		unk	unknown15
crooked	powena	crooked	powena		jj	2731		e	Eastern
crow	car.ten.er		car.ten.er	Raven seems distinguished from magpies (q.v.) to which it is closely related	cr	1643		bl	Ben Lomond
crow	kella - katena		car.ten.er	Sterling ('Norman') vocabulary--two entries for crow [lunyer and perrethener (crow)] and [teeanderoodenar and triunyar (crow bird)]--also three words under entry 'magpie' (q.v.)--perrethener seems to be same as pier.re.nen.ner (magpie)--transferred accordingly	lh	1644		unk	unknown15
crow	ill.lare		ill.lare		gar	1645	lj	unk	unknown15
crow	rallia		ill.lare		wn	1646		unk	unknown15
crow	li.tar		li.tar		cr	1652	lr	br	Big River
crow	lieetah		li.tar		mj	1653		oyb	Oyster Bay
crow	lietenna		li.tar		mj	1654		oyb	Oyster Bay
crow	lye.tar (x)		li.tar		gar	1655		b	Bruny Island
crow	linah		linah		mj	1647		b	Bruny Island
crow	ly.ner		linah		gar	1648		cg	Cape Grim, NW Tasmania
crow	lina		linah		jj	1649		n	Northern tribes, but not always those to westward of the Tamar River
crow	lina		linah		bm	1650		ch	Circular Head, NW Tasmania
crow	lũnyěr		linah		sn	1651		unk	unknown15
crow	linah		linah		mj	9430		s	Southern
crow	narapatta		narapatta		bmm	1656		w	western tribes
crow	narapalta		narapatta		bm	1657		w	western tribes
crow	nanapatta		narapatta		jj	1658		w	western tribes
crow	pal.ler.rook.er		pal.ler.rook.er		gar	1659		ri	Robbins Island, NW
crow	pal.lor.ruc		pal.ler.rook.er		gar	1660		wc	Western Coast
crow	těeãnděroõděnǎr		teeanderoodenar		sn	1661		unk	unknown15
crow	trenn houtne	corbeau	teeanderoodenar		gm	1662		dl	Port Dalrymple, Tamar River
crow	tow.ren.ne (x)		tow.ren.ne		gar	1663		b	Bruny Island
crow	taw wereiny		tow.ren.ne		mj	1664		b	Bruny Island
crow	taw wereiny		tow.ren.ne		mj	9431		s	Southern
crow	tri'ũnyǎr		triunyar		sn	1665		unk	unknown15
cry (to)	a.yer.len.er	cry	a.yer.len.er		cr	2732		bl	Ben Lomond
cry (to)	gnaïele	pleurer	a.yer.len.er		gm	2733		dl	Port Dalrymple, Tamar River
cry (to)	cockata	howl in distress	cockata		mj	2734		b	Bruny Island
cry (to)	cockata	howl in distress	cockata		mj	9542		s	Southern
cry (to)	de.tul.i.pare.lare	cry	de.tul.i.pare.lare		cr	2735		ps	Port Sorell, northern
cry (to)	mu.rer.car.ne	cry	mu.rer.car.ne		cr	2736		bl-kaurna	Kaurna
cry (to)	myluggana	howl in distress	myluggana		mj	2737		oyb	Oyster Bay
cry (to)	moi-luggata	cry	myluggana		mj	2738		b	Bruny Island
cry (to)	moido-guna	upset	myluggana		pl	2739		se	Southeastern
cry (to)	moeluggrana	wail	myluggana		mj	2740		b	Bruny Island
cry (to)	moaluggata kannaproie	deplore, lament	myluggana		mj	2741		b	Bruny Island
cry (to)	mar.ne.gu.wid.yer	cry	myluggana		st	2742		e	Eastern
cry (to)	moi-luggata	cry	myluggana		mj	9543		s	Southern
cry (to)	moeluggrana	wail	myluggana		mj	9544		s	Southern
cry (to)	moaluggata kannaproie	deplore, lament	myluggana		mj	9545		s	Southern
cry (to)	naoutagh bourack	cry	naoutagh	Possible connection with neoongyack (rage)	mj	2743		oyb	Oyster Bay
cry (to)	neel.ler.lar.rar.rar	cry	neel.ler.lar.rar.rar		gar	2744		ri	Robbins Island, NW
cry (to)	nee.tun.ne	cry	neel.ler.lar.rar.rar		gar	2745	plh	unk	unknown15
cry (to)	pe.cole.er.war.ter.pare	tear	pe.cole.er.war.ter.pare		cr	2746		bl	Ben Lomond
cry (to)	tagara toomiack	cry	tagara		mj	2747		oyb	Oyster Bay
cry (to)	ta.gar.a.ga	cry	tagara		bd	2748		oyb	Oyster Bay
cry (to)	tagarramena	weep	tagara		mj	2749		oyb	Oyster Bay
cry (to)	tuggermacarna	howl in distress	tagara		mj	2750		oyb	Oyster Bay
cry (to)	tegryma kannunya	wail	tagara		mj	2751		oyb	Oyster Bay
cry (to)	tagrunah kamuluggana	deplore, lament	tagara		mj	2752		oyb	Oyster Bay
cry (to)	tagarrena	tear	tagara		mj	2753		oyb	Oyster Bay
cry (to)	tar.dick.kar	cry	tar.dick.kar		gar	2754	no	unk	unknown15
cry (to)	tar.dic.ar	cry	tar.dick.kar		gar	2755	no	unk	unknown15
cry (to)	targa	cry	targa		bm	2756		ch	Circular Head, NW Tasmania
cry (to)	targa	cry	targa		jj	2757		n	Northern tribes, but not always those to westward of the Tamar River
cry (to)	tar.rer.ker	cry	targa		cr	2758		wc	Western Coast
cry (to)	tar.de.kar	cry	targa		gar	2759		? wc	
cry (to)	ter.tar.rer.toi.yer.nem.ber.rer	cry	ter.tar.rer.toi.yer.nem.ber.rer		cr	2768	lr	br	Big River
cry (to)	tẽrrǎr	cry	terrar		sn	2760		unk	unknown15
cry (to)	taarana	crying	terrar		rb	2761		b	Bruny Island
cry (to)	tarra toone	cry	terrar		mj	2762		b	Bruny Island
cry (to)	tarra wayleh	weep	terrar		mj	2763		b	Bruny Island
cry (to)	tara	pleurer	terrar		pp	2764		se	Southeastern
cry (to)	tara	weep	terrar		pl	2765		se	Southeastern
cry (to)	ty.rer	cry	terrar		st	2766		b	Bruny Island
cry (to)	tarragatté	tear	terrar		mj	2767		b	Bruny Island
cry (to)	tarra toone	cry	terrar		mj	9546		s	Southern
cry (to)	tarra wayleh	weep	terrar		mj	9547		s	Southern
cry (to)	tarragatté	tear	terrar		mj	9548		s	Southern
currijong	mur.gen.er		mur.gen.er	usually given to Plagianthus sideroides, but also to species of Pimelia. Bark can be removed in long strips, likely to have been used by aborigines for tying bundles of bark, or rushes used in making their boats	gar	8379		oyb	Oyster Bay
currijong	mung.er.ner		mur.gen.er		gar	8380		oyb	Oyster Bay
currijong	tal.loon.ner		tal.loon.ner		gar	8381		cp	Cape Portland
currijong	ter.lorn.ner		tal.loon.ner		gar	8382		cp	Cape Portland
currijong	ty.lid.de		ty.lid.de		gar	8383		b	Bruny Island
cut (to)	goe.gen.ner	cut	goe.gen.ner		gar	2769		b	Bruny Island
cut (to)	gõ.gǐn.něr	chop	goe.gen.ner		st	2770		b	Bruny Island
cut (to)	logoone	cut	logoone	Same as lowgoone (tattoo)	mj	2771		oyb	Oyster Bay
cut (to)	lowgoone	cut	logoone	Tattoo	mj	2772		oyb	Oyster Bay
cut (to)	lué	couper du bois avec un couteau	logoone		pp	2773		se	Southeastern
cut (to)	loong.he.lere.re	cut	loong.he.lere.re	More properly a word for 'tattoo'	gar	2774		nn	Ninenee tribe, Port Davey, SW
cut (to)	oõngǔrlěrpõolěr	cut	oongurlerpooler		sn	2775		unk	unknown15
cut (to)	hũ.ne.něr.põol.ěr	chop	oongurlerpooler		st	10411		e	Eastern
cut (to)	hũ.ne.něr.põol.ěr	chop	oongurlerpooler		st	10870		sp	Swanport, east coast
cut (to)	hũ.ne.něr.põol.ěr	chop	oongurlerpooler		st	11329		oyb	Oyster Bay
cut (to)	rogueri	couper	rogueri		dr	2777		se	Southeastern
cut (to)	roguerí	couper	rogueri		dle/f	2778		se	Southeastern
cut (to)	rogueri	'strike'	rogueri		jjd	2779		se	Southeastern
cut (to)	rogueree	'eat'	rogueri		dle	2780		se	Southeastern
cut (to)	rogeri	cut	rogueri		pl	2781		se	Southeastern
cut (to)	rinigri	frotter, polir avec une coquille	rogueri		drm	2782		se	Southeastern
cut (to)	rinigry	couper, grater	rogueri		drm	2783		se	Southeastern
cut (to)	tǎtrõang'hǐněr	cut	tatroanghiner		sn	2784		unk	unknown15
cut (to)	tãr.gĩ.děr	cut	tatroanghiner		st	2785		b	Bruny Island
cut (to)	toĩdi	couper	toidi		dr	2786		se	Southeastern
cut (to)	toidi	cut	toidi		dle	2787		se	Southeastern
cut (to)	toïdi	couper	toidi		dlf	2788		se	Southeastern
cut (to)	toidi	'strike'	toidi		jjd	2789		se	Southeastern
cut (to)	toidee	'eat'	toidi		dle	2790		se	Southeastern
cut (to)	touadi	couper	toidi		drm	2791		se	Southeastern
cut (to)	tordi	cut	toidi		pl	2792		se	Southeastern
cut (to)	tor.ger.rer	cut	tor.ger.rer		gar	2793		b	Bruny Island
cut (to)	toagarah	cut	tor.ger.rer		mj	2794		b	Bruny Island
cut (to)	toagarah	cut	tor.ger.rer		mj	9549		s	Southern
cuttlefish	lob.be.ler.wine.ne		lob.be.ler.wine.ne		gar	4302		pd	Port Davey, SW
cuttlefish	wem.men.ne		wem.men.ne		gar	4303		b	Bruny Island
dance (to)	kar.loe.gen.ner	dance	kar.loe.gen.ner	May contain root word carnee (speak)	gar	2795		ty	Tyreelore, dialect spoken by sealer’s women
dance (to)	galogra	danse	kar.loe.gen.ner		gm	2796		dl	Port Dalrymple, Tamar River
dance (to)	kar.ne.plee.lare	dance	kar.ne.plee.lare	Contains root word carnee (speak)	gar	2797	mn	e	Eastern
dance (to)	kar.ner.ple.lar.ne	sing, dance	kar.ne.plee.lare		gar	2798		e	Eastern
dance (to)	karn.ner.ve.lag.ger.ner	dance	kar.ne.plee.lare		st	10412		e	Eastern
dance (to)	karn.ner.ve.lag.ger.ner	dance	kar.ne.plee.lare		st	10871		sp	Swanport, east coast
dance (to)	karn.ner.ve.lag.ger.ner	dance	kar.ne.plee.lare		st	11330		oyb	Oyster Bay
dance (to)	kar.ne.win.ne	danced	kar.ne.win.ne		gar	2800		br	Big River
dance (to)	lang.kar.ner	dance	lang.kar.ner	Contains root word carnee (speak)	gar	2801		cp	Cape Portland
dance (to)	ledrae	dance	ledrae	Similar to lyenny (sing)	pl	2802		se	Southeastern
dance (to)	ledreïe	danser	ledrae		pp	2803		se	Southeastern
dance (to)	neen.ner.lag.ger.neen.ne	you to dance	neen.ner.lag.ger.neen.ne		st	2804		e	Eastern
dance (to)	rialangana	dance	rialangana	Similar to riacunnah (sing)_	mj	2805		b	Bruny Island
dance (to)	rianna riacunha	dance	rialangana		mj	2806		oyb	Oyster Bay
dance (to)	dry.vě.hy̆.lãg.gěr.nǔr	dancing	rialangana		st	2807		b	Bruny Island
dance (to)	rialangana	dance	rialangana	Similar to riacunnah (sing)_	mj	9550		s	Southern
dance (to)	rywela	summons to a dance	rialangana		ws	11734	hu	e	Eastern
dance (to)	rywela	summons to a dance	rialangana		ws	11735	hu	se	Southeastern
dance (to)	rywee	song, at coroboree	rialangana		ws	11736	hu	e	Eastern
dance (to)	rywee	song, at coroboree	rialangana		ws	11737	hu	se	Southeastern
dance (to)	terragomna	corrobory	terragomna		jj	2808		n	Northern tribes, but not always those to westward of the Tamar River
dance (to)	terragomna	corroboree	terragomna		bm	2809		ch	Circular Head, NW Tasmania
dance (to)	true.de.cum	sing, dance	true.de.cum		gar	2810		unk	unknown15
dance (to)	true.de.cum	dance	true.de.cum		gar	2811		pd	Port Davey, SW
day	bur.re.wur.re	daylight	bur.re.wur.re		gar	2815		unk	unknown15
day	kauna	day	kauna		wn	2816		unk	unknown15
day	lanena	day	lanena		jj	2817		e	Eastern
day	lalena	day	lanena		bm	2818		e	Eastern
day	lay.pan.ner	day	lay.pan.ner		gar	2819		ri	Robbins Island, NW
day	loi.ner	daylight	loi.ner	Associated with 'sun' (may be that translation of this as day is an error)	gar	2820		ri	Robbins Island, NW
day	loina	day	loi.ner		jd	2821		s	Southern
day	loyowibba	day	loyowibba		jj	2822		n	Northern tribes, but not always those to westward of the Tamar River
day	loyowibba	day	loyowibba		bm	2823		ch	Circular Head, NW Tasmania
day	lũr.rěr.rãn.gěl.ly̆	daylight	lur.rer.ran.gel.ly		st	2824		b	Bruny Island
day	luggaranialé	daylight	lur.rer.ran.gel.ly		mj	2825		b	Bruny Island
day	lur.ree.rar	daylight	lur.rer.ran.gel.ly		gar	2826		b	Bruny Island
day	luer.ne.ner	daylight	lur.rer.ran.gel.ly		gar	2827		b	Bruny Island
day	luggaranialé	daylight	lur.rer.ran.gel.ly		mj	9551		s	Southern
day	magra	day	magra		jj	2828		e	Eastern
day	megra	day	magra		lh	2829		unk	unknown15
day	moogara	day	magra		jj	2830		unk	unknown15
day	mõlǎr	daylight	magra		st	10413		e	Eastern
day	mõlǎr	daylight	magra		st	10872		sp	Swanport, east coast
day	mõlǎr	daylight	magra		st	11331		oyb	Oyster Bay
day	nar.ne.woor.lar	daylight	nar.ne.woor.lar		cr	2832		ps	Port Sorell, northern
day	pas	jour	pas	See 'play'	pp	2833		se	Southeastern
day	tagama	day	tagama		rb	2834		b	Bruny Island
day	tridadie	jour	tridadie		gm	2835		dl	Port Dalrymple, Tamar River
day	taggre mamannyé	daylight	tridadie		mj	2836		oyb	Oyster Bay
dead	blag'ǔrdẽddǐǎr	dead	blagurdeddiar		sn	2837		unk	unknown15
dead	kragbaga	mort	kragbaga	Similar to crackerpucker (kill)	gm	2838		dl	Port Dalrymple, Tamar River
dead	crackabugga páwa	to be dead	kragbaga		bk	2839		unk	unknown15
dead	loe.wock.er	dead	loe.wock.er		gar	2840		cg	Cape Grim, NW Tasmania
dead	lowatka	dead	loe.wock.er		jd	2841		s	Southern
dead	lowakka	dead	loe.wock.er		jd	2842		s	Southern
dead	low.hawk	dead	loe.wock.er		gar	2843		unk	unknown15
dead	loe.hawk	dead	loe.wock.er		gar	2844		? wc	
dead	lõg.gěr.nũ	dead	log.ger.nu		st	2845		b	Bruny Island
dead	mata	mort, mourir	mata		dr	2846		se	Southeastern
dead	mata	die	mata		pl	2847		se	Southeastern
dead	mata	mort, mourir	mata		pp	2848		se	Southeastern
dead	mata	mort, mourir	mata		dle/f	2849		se	Southeastern
dead	mata	mourir	mata		drm	2850		se	Southeastern
dead	mata énigo	cela fait mourir	mata	Similar to miepoiyenah	drm	2851		se	Southeastern
dead	mata enigo	cela donne la mort	mata	Common to kill	dr	2852		se	Southeastern
dead	mata enigo	cela donne la mort	mata		dle/f	2853		se	Southeastern
dead	mata nigo	cela donne la mort	mata		dr	2854		se	Southeastern
dead	mata nigo	il va mourir	mata		drm	2855		se	Southeastern
dead	matanigo	il va mourir	mata		drm	2856		se	Southeastern
dead	motanigo	il va mourir	mata		drm	2857		se	Southeastern
dead	me.ac.bor.roke	dead	me.ac.bor.roke	Similar to miackbourack (corpse)	gar	2858		tg	Toogee tribe, Birches Rocks, west coast
dead	may.ack.pore.ruck	dead	me.ac.bor.roke		gar	2859		e	Eastern
dead	may.ack.pore.nick	dead	me.ac.bor.roke		gar	2860		e	Eastern
dead	me.ack.er.bo.rook	dead	me.ac.bor.roke		cr	2863	lr	br	Big River
dead	me.ac.er.bore.roke	dead	me.ac.bor.roke		gar	2864		oyb	Oyster Bay
dead	merack bourack	dead	me.ac.bor.roke		mj	2865		oyb	Oyster Bay
dead	mientung bourrack	dead	me.ac.bor.roke		mj	2866		oyb	Oyster Bay
dead	mientungbourrack	dead	me.ac.bor.roke		mj	2867		oyb	Oyster Bay
dead	mag.bor.roe	dead	me.ac.bor.roke		gar	10414		ls	Little Swanport, east coast
dead	may.bore.roe	dead	me.ac.bor.roke		gar	10415		ls	Little Swanport, east coast
dead	mag.bor.roe	dead	me.ac.bor.roke		gar	10873		e	Eastern
dead	may.bore.roe	dead	me.ac.bor.roke		gar	10874		e	Eastern
dead	me.ac.bor.roke	dead	me.ac.bor.roke	Similar to miackbourack (corpse)	gar	11654		oyb	Oyster Bay
dead	mo.ner.cur.nar.rer	dead	mo.ner.cur.nar.rer		cr	2868		ps	Port Sorell, northern
dead	moyé	dead	moye		mj	2869		b	Bruny Island
dead	moingaba	dead	moye		rb	2870		b	Bruny Island
dead	moyé	dead	moye		mj	9552		s	Southern
dead	my.nin.ne	dead	my.nin.ne		gar	2871	lj	unk	unknown15
dead	nar.mine.ner.ne	dead	nar.mine.ner.ne		gar	2872	plh	unk	unknown15
dead	nar.mine.ner.re	dead	nar.mine.ner.ne		gar	2873	plh	unk	unknown15
dead	parawar	dead	parawar	Similar to parrawe (throw)	ar	2874		unk	unknown15
dead	poe.kane.er	dead	poe.kane.er		gar	2875		ri	Robbins Island, NW
dead	wal.tere	dead	wal.tere		gar	2876		pr	Piper River, NE
dead	wal.teer	dead	wal.tere		gar	2877		cp	Cape Portland
dead	win.co.parl.der.re	dead	win.co.parl.der.re		cr	2878		bl-kaurna	Kaurna
dead	wõrdǐǒck	dead	wordiock		sn	2879		unk	unknown15
dead	wore.ter.pur.re	dead	wore.ter.pur.re		gar	2880		cp	Cape Portland
dead	wore.ter.pur.re.ter.yac	dead	wore.ter.pur.re		gar	2881		cp	Cape Portland
dead	wor.eth.bur.ric.bow.er	dead	wore.ter.pur.re		gar	2882	jb	n	Northern tribes, but not always those to westward of the Tamar River
dead man's house	neeninglinim		neeninglinim		gar	2883		unk	unknown15
dead man's house	mannelean	dead man's hut	neeninglinim		gar	2884		unk	unknown15
dead man's house	rayge.line.ne		rayge.line.ne	Literally 'devil' (rargeropper) 'house' (lin.ner)	gar	2885		b	Bruny Island
dead man's house	rayge.line.ne		rayge.line.ne	Literally 'devil' (rargeropper) 'house' (lin.ner)	gar	9553		s	Southern
dead man's house	rorgre rainer	dead man's bones	rorgre rainer		gar	2886		unk	unknown15
dead man's house	tem.men.war.loon		tem.men.war.loon		gar	2887		w	western tribes
deaf	guallengatick guanghata	deaf	guallengatick		mj	2888		oyb	Oyster Bay
deaf	kown.nar.rer.boke	deaf	kown.nar.rer.boke	asociation with ear (kown.de.yer)	cr	2889		wc	Western Coast
deaf	trar.te.yer	no hear it	trar.te.yer		gar	2890		unk	unknown15
deaf	wayeebedé	deaf	wayeebede	association with vaigui (ear)	mj	2891		b	Bruny Island
deaf	wayeebedé	deaf	wayeebede	association with vaigui (ear)	mj	9554		s	Southern
deception	gãrběrěbõběrě	gammon, deception	garberebobere		sn	2892		unk	unknown15
deception	lã.gě.nǒ.õil.ly̆	deception	la.ge.no.oil.ly		st	2893		b	Bruny Island
deception	low.ge.ne oil.ly	all gammon	la.ge.no.oil.ly		gar	2894		b	Bruny Island
deception	lay.ge.no.oil.ly	all gammon	la.ge.no.oil.ly		gar	2895		pd	Port Davey, SW
deception	par.rer.war.pig.ger.rer.pil.lar	no tricks	par.rer.war.pig.ger.rer.pil.lar		st	2898		e	Eastern
deception	pãrměrěcõcõ	gammon, deception	parmerecoco		sn	2896		unk	unknown15
deception	pãr.měr.rěr.cõke.cǒ	deception	parmerecoco		st	10416		e	Eastern
deception	pãr.měr.rěr.cõke.cǒ	deception	parmerecoco		st	10875		sp	Swanport, east coast
deception	pãr.měr.rěr.cõke.cǒ	deception	parmerecoco		st	11334		oyb	Oyster Bay
deception	tow.ning.er.rer.ting.er.tung.he	deception	tow.ning.er.rer.ting.er.tung.he		gar	2899		cp	Cape Portland
deception	tue.de.by.kate.er pen.nin	deception	tue.de.by.kate.er		gar	2900		ri	Robbins Island, NW
deception	tid.de.buc.cake (x)	deception	tue.de.by.kate.er		gar	2901		unk	unknown15
deception	tude.de.buck.kate (x)	deception	tue.de.by.kate.er		gar	2902		unk	unknown15
deception	tue.de.bud.de.ker	gammon, deception	tue.de.by.kate.er		gar	2903		unk	unknown15
deep	loa maggalangta	deep water	loa maggalangta		mj	2904		oyb	Oyster Bay
deep	lome.mer.ker	deep water	lome.mer.ker		gar	2905		cp	Cape Portland
deep	low.kel.ler.de	deep	low.kel.ler.de		gar	2906		b	Bruny Island
deep	kellatie	deep water	low.kel.ler.de		mj	2907		b	Bruny Island
defecate (to)	laedaé	aller à la selle	laedae		dr	2908		se	Southeastern
defecate (to)	laedaé	chier	laedae		drm	2909		se	Southeastern
defecate (to)	taédaé	chier	laedae		drm	2910		se	Southeastern
defecate (to)	legana	evacuate	legana		jj	2911		e	Eastern
defecate (to)	legard	evacuate	legana		lh	2912		unk	unknown15
defecate (to)	tere	evacuate	tere		pl	2913		se	Southeastern
defecate (to)	taé	aller à la selle	tere		pp	2914		se	Southeastern
defecate (to)	ty		tere		st	2915		b	Bruny Island
defecate (to)	tiouak	chier	tiouak		gm	2916		dl	Port Dalrymple, Tamar River
descend	cãngǔrlũnghěněr	descend	cangurlunghener	Similar to lingurninne (go)	sn	2917		unk	unknown15
descend	mur.en.nat.ta	going down	mur.en.nat.ta	imilar to mare.ren.ter (go)	st	2918		e	Eastern
descend	too.gun.ner	going down	too.gun.ner	Similar to tag.ger.rer (go)	st	2919		b	Bruny Island
descend	wãbběrkẽnnǎr	descend	wabberkennar	Similar to wom.mer.no (go)	sn	2920		unk	unknown15
devil	drie.wer.row.wen.ner	devil	drie.wer.row.wen.ner		cr	2921	lr	br	Big River
devil	ria warrawah noilé	demon	drie.wer.row.wen.ner		mj	2922		b	Bruny Island
devil	ria warappé noilé	imp	drie.wer.row.wen.ner		mj	2923		b	Bruny Island
devil	ria-wurrawa	apparition	drie.wer.row.wen.ner		mj	2924		b	Bruny Island
devil	riawarawapah	ghost	drie.wer.row.wen.ner		mj	2925		b	Bruny Island
devil	warrawah	spirit of dead	drie.wer.row.wen.ner		mj	2926		b	Bruny Island
devil	wurrawena	spirit of dead	drie.wer.row.wen.ner		mj	2927		oyb	Oyster Bay
devil	wurra-wena	apparition	drie.wer.row.wen.ner		mj	2928		oyb	Oyster Bay
devil	wurrawena	apparition	drie.wer.row.wen.ner		mj	2929		oyb	Oyster Bay
devil	wurrawana	ghost	drie.wer.row.wen.ner		mj	2930		oyb	Oyster Bay
devil	ria warrawah noilé	demon	drie.wer.row.wen.ner		mj	9555		s	Southern
devil	ria warappé noilé	imp	drie.wer.row.wen.ner		mj	9556		s	Southern
devil	ria-wurrawa	apparition	drie.wer.row.wen.ner		mj	9557		s	Southern
devil	riawarawapah	ghost	drie.wer.row.wen.ner		mj	9558		s	Southern
devil	warrawah	spirit of dead	drie.wer.row.wen.ner		mj	9559		s	Southern
devil	wrowa	Devil	drie.wer.row.wen.ner		ws	11738	at	e	Eastern
devil	row.a	Devil	drie.wer.row.wen.ner		ws	11739	at	e	Eastern
devil	wurrowa		drie.wer.row.wen.ner		ws	11740	at	e	Eastern
devil	arowa	ghost of the dead	drie.wer.row.wen.ner		ws	11741	hu	e	Eastern
devil	werowa	Devil, bad spirit	drie.wer.row.wen.ner		ws	11742	mj	e	Eastern
devil	werowa	good spirit, bad spirit	drie.wer.row.wen.ner		ws	11743	sn	e	Eastern
devil	werowa	sends star, ? at end winter	drie.wer.row.wen.ner		ws	11744	sn	e	Eastern
devil	werowa crackne	said to reassure boatmen	drie.wer.row.wen.ner		ws	11745	sn	e	Eastern
devil	crackne werowa	coming of the spirit	drie.wer.row.wen.ner		ws	11746	sn	e	Eastern
devil	rowra	Devil, spirit	drie.wer.row.wen.ner		ws	11747	kn	e	Eastern
devil	woorowa	ghost, spirit of dead	drie.wer.row.wen.ner		ws	11748	im	e	Eastern
devil	wrowa	Devil	drie.wer.row.wen.ner		ws	11749	at	se	Southeastern
devil	row.a	Devil	drie.wer.row.wen.ner		ws	11750	at	se	Southeastern
devil	wurrowa		drie.wer.row.wen.ner		ws	11751	at	se	Southeastern
devil	arowa	ghost of the dead	drie.wer.row.wen.ner		ws	11752	hu	se	Southeastern
devil	werowa	Devil, bad spirit	drie.wer.row.wen.ner		ws	11753	mj	se	Southeastern
devil	werowa	good spirit, bad spirit	drie.wer.row.wen.ner		ws	11754	sn	se	Southeastern
devil	werowa	sends star, ? at end winter	drie.wer.row.wen.ner		ws	11755	sn	se	Southeastern
devil	werowa crackne	said to reassure boatmen	drie.wer.row.wen.ner		ws	11756	sn	se	Southeastern
devil	crackne werowa	coming of the spirit	drie.wer.row.wen.ner		ws	11757	sn	se	Southeastern
devil	rowra	Devil, spirit	drie.wer.row.wen.ner		ws	11758	kn	se	Southeastern
devil	woorowa	ghost, spirit of dead	drie.wer.row.wen.ner		ws	11759	im	se	Southeastern
devil	kar.pen.nue.you.hen.er (x)	devil	kar.pen.nue.you.hen.er		gar	2931	mn	unk	unknown15
devil	kale.pe.nun.ne (x)	devil	kar.pen.nue.you.hen.er		gar	2932	mn	unk	unknown15
devil	kar.pen.noo.you.hen.er	devil	kar.pen.nue.you.hen.er		gar	2933	mn	unk	unknown15
devil	korm.ten.ner (xx)	devil	korm.ten.ner		gar	2934		cp	Cape Portland
devil	kar.ter.nen.ne (xx)	devil	korm.ten.ner		gar	2935		cp	Cape Portland
devil	loo.korm.ten.ner	devil	korm.ten.ner		gar	2936		unk	unknown15
devil	loo.kome.ten.ner	devil, evil spirit	korm.ten.ner		gar	2937		cp	Cape Portland
devil	comtena	devil	korm.ten.ner		jj	2938		e	Eastern
devil	comtena	'dog'	korm.ten.ner		jj	2939		e	Eastern
devil	comtana	devil	korm.ten.ner		lh	2940		e	Eastern
devil	comptena	spirit of evil	korm.ten.ner		mj	10417		w	western tribes
devil	comptena	spirit of evil	korm.ten.ner		mj	10876		nw	
devil	krottomientoneack	apparition	krottomientoneack		mj	2942		oyb	Oyster Bay
devil	mar.rip.en.ner	bush devil	mar.rip.en.ner	Tasmanian devil (Sarcophilus harrisi) is marsupial about size of Scotch terrier dog, which has black fur patched with white. Series of words is small by definite	gar	4951	kg	unk	unknown15
devil	mienginnya	fiend	mienginnya		mj	2943		oyb	Oyster Bay
devil	mienginya	demon	mienginnya		mj	2944		oyb	Oyster Bay
devil	mieng-inya	spirit of evil	mienginnya		mj	2945		oyb	Oyster Bay
devil	mar.kane.yer lore.pane.ner	devil	mienginnya		gar	2946		oyb	Oyster Bay
devil	namneberick	devil	namneberick		jd	2947		s	Southern
devil	namneboorak	spirit of evil	namneberick		mj	2948		b	Bruny Island
devil	murrambukanya lowana	witch clothed in grass	namneberick		mj	2949		oyb	Oyster Bay
devil	murrumbuckannya	fairy	namneberick		mj	2950		oyb	Oyster Bay
devil	murumbukannya	fairy	namneberick		mj	2951		b	Bruny Island
devil	tiggana marrabona	spirit of great power	namneberick		mj	2952		oyb	Oyster Bay
devil	namma	spirit of evil	namneberick		mj	2953		b	Bruny Island
devil	nama	devil	namneberick		lh	2954		w	western tribes
devil	namneboorak	spirit of evil	namneberick		mj	9560		s	Southern
devil	murumbukannya	fairy	namneberick		mj	9561		s	Southern
devil	namma	spirit of evil	namneberick		mj	9562		s	Southern
devil	nanginnya	fairy	nanginnya		mj	2955		oyb	Oyster Bay
devil	nanginya	fairy	nanginnya		mj	2956		oyb	Oyster Bay
devil	nang-inya	elf	nanginnya		mj	2957		oyb	Oyster Bay
devil	nungheenah	elf	nanginnya		mj	2958		b	Bruny Island
devil	nungheenah	elf	nanginnya		mj	9563		s	Southern
devil	noilowanah	elf	noilowanah		mj	2959		b	Bruny Island
devil	noilowanah	elf	noilowanah		mj	9564		s	Southern
devil	now.hum.mer	devil	now.hum.mer		gar	2960		ri	Robbins Island, NW
devil	now.hum.mer	evil spirit	now.hum.mer		gar	2961		unk	unknown15
devil	now.hum.moe	devil	now.hum.mer		gar	2962		cg	Cape Grim, NW Tasmania
